EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country
AEW-873,2024-06-30,AEW,AEW/NJPW Forbidden Door  Zero Hour,AEW/NJPW Forbidden Door 2024 - Zero Hour,Televised,"Elmont, New York, USA",Elmont,New York,USA
AEW-872,2024-06-30,AEW,AEW/NJPW Forbidden Door,AEW/NJPW Forbidden Door 2024,PLE/PPV,"Elmont, New York, USA",Elmont,New York,USA
AEW-871,2024-06-26,AEW,AEW Dynamite,AEW Dynamite #247,Televised,"Buffalo, New York, USA",Buffalo,New York,USA
AEW-870,2024-06-26,AEW,AEW Collision,AEW Collision #51,Televised,"Buffalo, New York, USA",Buffalo,New York,USA
AEW-869,2024-06-20,AEW,AEW Collision,AEW Collision #50,Televised,"Allentown, Pennsylvania, USA",Allentown,Pennsylvania,USA
AEW-868,2024-06-20,AEW,AEW Rampage,AEW Rampage #151,Televised,"Allentown, Pennsylvania, USA",Allentown,Pennsylvania,USA
AEW-867,2024-06-19,AEW,AEW Dynamite,AEW Dynamite #246,Televised,"Fairfax, Virginia, USA",Fairfax,Virginia,USA
AEW-866,2024-06-19,AEW,AEW Rampage,AEW Rampage #150,Televised,"Fairfax, Virginia, USA",Fairfax,Virginia,USA
AEW-865,2024-06-15,AEW,AEW Collision,AEW Collision #49 - 1 Year Anniversary,Televised,"Youngstown, Ohio, USA",Youngstown,Ohio,USA
AEW-864,2024-06-12,AEW,AEW Rampage,AEW Rampage #149,Televised,"Des Moines, Iowa, USA",Des Moines,Iowa,USA
AEW-863,2024-06-12,AEW,AEW Dynamite,AEW Dynamite #245,Televised,"Des Moines, Iowa, USA",Des Moines,Iowa,USA
AEW-862,2024-06-08,AEW,AEW Collision,AEW Collision #48,Televised,"Council Bluffs, Iowa, USA",Council Bluffs,Iowa,USA
AEW-861,2024-06-05,AEW,AEW Rampage,AEW Rampage #148,Televised,"Loveland, Colorado, USA",Loveland,Colorado,USA
AEW-860,2024-06-05,AEW,AEW Dynamite,AEW Dynamite #244,Televised,"Loveland, Colorado, USA",Loveland,Colorado,USA
AEW-859,2024-05-30,AEW,AEW Collision,AEW Collision #47,Televised,"Palm Desert, California, USA",Palm Desert,California,USA
AEW-858,2024-05-29,AEW,AEW Dynamite,AEW Dynamite #243,Televised,"Inglewood, California, USA",Inglewood,California,USA
AEW-857,2024-05-29,AEW,AEW Rampage,AEW Rampage #147,Televised,"Inglewood, California, USA",Inglewood,California,USA
AEW-856,2024-05-26,AEW,AEW Double Or Nothing  The Buy In,AEW Double Or Nothing 2024 - The Buy In,Televised,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA
AEW-855,2024-05-26,AEW,AEW Double Or Nothing,AEW Double Or Nothing 2024,PLE/PPV,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA
AEW-854,2024-05-25,AEW,AEW Collision,AEW Collision #46,Televised,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA
AEW-853,2024-05-22,AEW,AEW Dynamite,AEW Dynamite #242,Televised,"Bakersfield, California, USA",Bakersfield,California,USA
AEW-852,2024-05-22,AEW,AEW Rampage,AEW Rampage #146,Televised,"Bakersfield, California, USA",Bakersfield,California,USA
AEW-851,2024-05-16,AEW,AEW Collision,AEW Collision #45,Televised,"Portland, Oregon, USA",Portland,Oregon,USA
AEW-850,2024-05-16,AEW,AEW Rampage,AEW Rampage #145,Televised,"Portland, Oregon, USA",Portland,Oregon,USA
AEW-849,2024-05-15,AEW,AEW Dynamite,AEW Dynamite #241,Televised,"Everett, Washington, USA",Everett,Washington,USA
AEW-848,2024-05-11,AEW,AEW Collision,AEW Collision #44,Televised,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada
AEW-847,2024-05-11,AEW,AEW Rampage,AEW Rampage #144,Televised,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada
AEW-846,2024-05-08,AEW,AEW Dynamite,AEW Dynamite #240,Televised,"Edmonton, Alberta, Canada",Edmonton,Alberta,Canada
AEW-845,2024-05-01,AEW,AEW Rampage,AEW Rampage #143,Televised,"Winnipeg, Manitoba, Canada",Winnipeg,Manitoba,Canada
AEW-844,2024-05-01,AEW,AEW Dynamite,AEW Dynamite #239,Televised,"Winnipeg, Manitoba, Canada",Winnipeg,Manitoba,Canada
AEW-843,2024-04-27,AEW,AEW Collision,AEW Collision #43,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA
AEW-842,2024-04-27,AEW,AEW Rampage,AEW Rampage #142,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA
AEW-841,2024-04-24,AEW,AEW Dynamite,AEW Dynamite #238,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA
AEW-840,2024-04-21,AEW,AEW Dynasty,AEW Dynasty 2024,PLE/PPV,"St. Louis, Missouri, USA",St. Louis,Missouri,USA
AEW-839,2024-04-21,AEW,AEW Dynasty  Zero Hour,AEW Dynasty 2024 - Zero Hour,Televised,"St. Louis, Missouri, USA",St. Louis,Missouri,USA
AEW-838,2024-04-20,AEW,AEW Collision,AEW Collision #42,Televised,"Peoria, Illinois, USA",Peoria,Illinois,USA
AEW-837,2024-04-20,AEW,AEW Rampage,AEW Rampage #141,Televised,"Peoria, Illinois, USA",Peoria,Illinois,USA
