EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country
WWE-4183,2021-12-20,WWE,WWE Main Event,WWE Main Event #482,Televised,"Milwaukee, Wisconsin, USA",Milwaukee,Wisconsin,USA
WWE-4182,2021-12-19,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Des Moines, Iowa, USA",Des Moines,Iowa,USA
WWE-4181,2021-12-18,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Rockford, Illinois, USA",Rockford,Illinois,USA
WWE-4180,2021-12-17,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1166,Televised,"Rosemont, Illinois, USA",Rosemont,Illinois,USA
WWE-4179,2021-12-17,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1165,Televised,"Rosemont, Illinois, USA",Rosemont,Illinois,USA
WWE-4178,2021-12-14,WWE,WWE 205 Live,WWE 205 Live #262,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4177,2021-12-14,WWE,WWE NXT,WWE NXT 2.0 #607,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4176,2021-12-13,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1490,Televised,"St. Paul, Minnesota, USA",St. Paul,Minnesota,USA
WWE-4175,2021-12-13,WWE,WWE Main Event,WWE Main Event #481,Televised,"St. Paul, Minnesota, USA",St. Paul,Minnesota,USA
WWE-4174,2021-12-12,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Grand Rapids, Michigan, USA",Grand Rapids,Michigan,USA
WWE-4173,2021-12-11,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Saginaw, Michigan, USA",Saginaw,Michigan,USA
WWE-4172,2021-12-10,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1164,Televised,"Los Angeles, California, USA",Los Angeles,California,USA
WWE-4171,2021-12-07,WWE,WWE NXT,WWE NXT 2.0 #606,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4170,2021-12-07,WWE,WWE 205 Live,WWE 205 Live #261,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4169,2021-12-06,WWE,WWE Main Event,WWE Main Event #480,Televised,"Memphis, Tennessee, USA",Memphis,Tennessee,USA
WWE-4168,2021-12-06,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1489,Televised,"Memphis, Tennessee, USA",Memphis,Tennessee,USA
WWE-4167,2021-12-05,WWE,WWE NXT WarGames,WWE NXT WarGames 2021,PLE/PPV,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4166,2021-12-05,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Corpus Christi, Texas, USA",Corpus Christi,Texas,USA
WWE-4165,2021-12-04,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Edinburg, Texas, USA",Edinburg,Texas,USA
